name,region,year,committee
Aditya Akella,University of Wisconsin—Madison,2013,Program
Katerina Argyraki,École Polytechnique Fédérale de Lausanne  (EPFL),2013,Program
Suman Banerjee,University of Wisconsin—Madison,2013,Program
Matthew Caesar,University of Illinois at Urbana-Champaign,2013,Program
Jeff Chase,Duke University,2013,Program
Rodrigo Fonseca,Brown University,2013,Program
Bryan Ford,Yale University,2013,Program
Mike Freedman,Princeton University,2013,Program
Krishna Gummadi,Max Planck Institute for Software Systems (MPI-SWS),2013,Program
Rebecca Isaacs,Microsoft Research,2013,Program
Jaeyeon Jung,Microsoft Research,2013,Program
Brad Karp,University College London,2013,Program
Ethan Katz-Bassett,University of Southern California,2013,Program
Dejan Kostić,Institute IMDEA Networks,2013,Program
Arvind Krishnamurthy,University of Washington,2013,Program
Wenke Lee,Georgia Institute of Technology,2013,Program
Dave Levin,University of Maryland,2013,Program
Philip Levis,Stanford University,2013,Program
Ratul Mahajan,Microsoft Research,2013,Program
James  Mickens,Microsoft Research,2013,Program
Andrew Moore,University of Cambridge,2013,Program
Richard Mortier,University of Nottingham,2013,Program
Michael Piatek,Google,2013,Program
George Porter,"University of California, San Diego",2013,Program
Luigi Rizzo,Università di Pisa,2013,Program
Lakshminarayanan Subramanian,New York University,2013,Program
Renata Teixeira,CNRS and UPMC Sorbonne Universités,2013,Program
Kobus Van der Merwe,University of Utah,2013,Program
Michael Walfish,"University of Texas, Austin",2013,Program
Heather Zheng,"University of California, Santa Barbara",2013,Program
Katerina Argyraki,EPFL,2014,Program
Aruna Balasubramanian,University of Washington,2014,Program
Miguel Castro,Microsoft Research Cambridge,2014,Program
Prabal Dutta,University of Michigan,2014,Program
Mike Freedman,Princeton University,2014,Program
Ali  Ghodsi,"KTH Royal Institute of Technology and University of California, Berkeley",2014,Program
Brighten Godfrey,University of Illinois at Urbana-Champaign,2014,Program
Sharon Goldberg,Boston University,2014,Program
Shyamnath Gollakota,University of Washington,2014,Program
Ramesh Govindan,University of Southern California,2014,Program
Saikat Guha,Microsoft Research India,2014,Program
Kyle Jamieson,University College London,2014,Program
Ethan Katz-Bassett,University of Southern California,2014,Program
S. Keshav,University of Waterloo,2014,Program
Changhoon Kim,Microsoft,2014,Program
Dejan Kostić,IMDEA Networks,2014,Program
T. V. Lakshman,Bell Labs,2014,Program
Nikolaos Laoutaris,Telefónica,2014,Program
Bruce Maggs,Duke University,2014,Program
KyoungSoo Park,KAIST,2014,Program
George Porter,"University of California, San Diego",2014,Program
Lili Qiu,University of Texas,2014,Program
Sanjay Rao,Purdue University,2014,Program
Jennifer Rexford,Princeton University,2014,Program
Vyas Sekar,Stony Brook University,2014,Program
Srinivasan Seshan,Carnegie Mellon University,2014,Program
Jonathan Smith,University of Pennsylvania,2014,Program
Nina Taft,Technicolor,2014,Program
Amin Vahdat,"Google and University of California, San Diego",2014,Program
Walter Willinger,Niksun,2014,Program
Yuan Yu,Microsoft,2014,Program
Ben Zhao,"University of California, Santa Barbara",2014,Program
Atul Adya,Google,2015,Program
Aditya Akella,University of Wisconsin–Madison,2015,Program
Katerina Argyraki,EPFL,2015,Program
Hitesh Ballani,Microsoft Research Cambridge,2015,Program
Suman Banerjee,University of Wisconsin–Madison,2015,Program
Jeff Chase,Duke University,2015,Program
Jeff Dean,Google,2015,Program
Prabal Dutta,University of Michigan,2015,Program
Nick Feamster,Princeton University,2015,Program
Rodrigo Fonseca,Brown University,2015,Program
Deepak Ganesan,University of Massachusetts Amherst,2015,Program
Sharon Goldberg,Boston University,2015,Program
Andreas Haeberlen,University of Pennsylvania,2015,Program
Mark Handley,University College London,2015,Program
Jon Howell,Microsoft Research Redmond,2015,Program
