name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Miguel Castro,Microsoft Research,2009,Program,Male,Male,NorAm,2001
Jeff Dean,"Google, Inc.",2009,Program,Male,Male,NorAm,1996
Nick Feamster,Georgia Institute of Technology,2009,Program,Male,Male,NorAm,2005
Mike Freedman,Princeton University,2009,Program,Male,Male,NorAm,2007
Steven D. Gribble,University of Washington,2009,Program,Male,Male,NorAm,2000
Krishna Gummadi,Max Planck Institute for Software Systems,2009,Program,,Male,EU,2005
Steven Hand,University of Cambridge,2009,Program,Male,Male,EU,1998
Farnam Jahanian,University of Michigan,2009,Program,Male,Male,NorAm,1989
Dina Katabi,Massachusetts Institute of Technology,2009,Program,Female,Female,NorAm,2003
Arvind Krishnamurthy,University of Washington,2009,Program,Male,Male,NorAm,1998
Bruce Maggs,Carnegie Mellon University/Akamai,2009,Program,Male,Male,NorAm,1989
Petros Maniatis,Intel Research Berkeley,2009,Program,Male,Male,NorAm,2003
Nick McKeown,Stanford University,2009,Program,Male,Male,NorAm,2017
Greg Minshall,Harvard University,2009,Program,Male,Male,NorAm,?
Michael Mitzenmacher,Harvard University,2009,Program,Male,Male,NorAm,1996
Jeff Mogul,HP Labs,2009,Program,Male,Male,NorAm,1986
Rama Ramasubramanian,Microsoft Research,2009,Program,Male,Male,NorAm,2005
Pablo Rodriguez,Spain Telefónica,2009,Program,,Male,EU,2000
Kobus van der Merwe,AT&T Labs—Research,2009,Program,,Male,NorAm,1998
Geoff Voelker,"University of California, San Diego",2009,Program,Male,Male,NorAm,2000
Matt Welsh,Harvard University,2009,Program,Male,Male,NorAm,2002
Hui Zhang,Carnegie Mellon University/Rinera,2009,Program,,Male,NorAm,1993
Yuanyuan Zhou,University of Illinois at Urbana-Champaign,2009,Program,Female,Female,NorAm,2000
Lorenzo Alvisi,University of Texas at Austin,2010,Program,Male,Male,NorAm,1996
Hari Balakrishnan,Massachusetts Institute of Technology,2010,Program,Male,Male,NorAm,1998
John Byers,Boston University,2010,Program,,Male,NorAm,1997
Patrick Crowley,Washington University in St. Louis,2010,Program,Male,Male,NorAm,2003
Jeff Dean,"Google, Inc.",2010,Program,Male,Male,NorAm,1996
Nick Feamster,Georgia Institute of Technology,2010,Program,Male,Male,NorAm,2005
Mike Freedman,Princeton University,2010,Program,Male,Male,NorAm,2007
Charles Killian,Purdue University,2010,Program,Male,Male,NorAm,2008
Dejan Kostić,École Polytechnique Fédérale de Lausanne,2010,Program,,Male,EU,2005
Philip Levis,Stanford University,2010,Program,Male,Male,NorAm,2005
Petros Maniatis,Intel Research Berkeley,2010,Program,Male,Male,NorAm,2003
Michael Mitzenmacher,Harvard University,2010,Program,Male,Male,NorAm,1996
Sue Moon,KAIST,2010,Program,Female,Female,Asia,2000
Venkat Padmanabhan,Microsoft Research India,2010,Program,,Male,Asia,1998
Sylvia Ratnasamy,Intel Research Berkeley,2010,Program,Female,Female,NorAm,2002
Jennifer Rexford,Princeton University,2010,Program,Female,Female,NorAm,1996
Rodrigo Rodrigues,Max Planck Institute for Software Systems,2010,Program,Male,Male,EU,2005
Timothy Roscoe,ETH Zurich,2010,Program,Male,Male,EU,1995
Antony Rowstron,Microsoft Research Cambridge,2010,Program,Male,Male,EU,1996
Stefan Savage,"University of California, San Diego",2010,Program,Male,Male,NorAm,2001
Srinivasan Seshan,Carnegie Mellon University,2010,Program,Male,Male,NorAm,1995
David Wetherall,University of Washington,2010,Program,Male,Male,NorAm,1998
