name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Miguel Castro,Microsoft Research,2009,Program,Male,Male,North America,2001,Male,FullNameMatch
Jeff Dean,"Google, Inc.",2009,Program,Male,Male,North America,1996,Male,FullNameMatch
Nick Feamster,Georgia Institute of Technology,2009,Program,Male,Male,North America,2005,Male,FullNameMatch
Mike Freedman,Princeton University,2009,Program,Male,Male,North America,2007,Male,FullNameMatch
Steven D. Gribble,University of Washington,2009,Program,Male,Male,North America,2000,Male,FullNameMatch
Krishna Gummadi,Max Planck Institute for Software Systems,2009,Program,,Male,Europe,2005,Male,FuzzyMatch
Steven Hand,University of Cambridge,2009,Program,Male,Male,Europe,1998,Male,FullNameMatch
Farnam Jahanian,University of Michigan,2009,Program,Male,Male,North America,1989,Male,FullNameMatch
Dina Katabi,Massachusetts Institute of Technology,2009,Program,Female,Female,North America,2003,Female,FullNameMatch
Arvind Krishnamurthy,University of Washington,2009,Program,Male,Male,North America,1998,Male,FullNameMatch
Bruce Maggs,Carnegie Mellon University/Akamai,2009,Program,Male,Male,North America,1989,Male,FullNameMatch
Petros Maniatis,Intel Research Berkeley,2009,Program,Male,Male,North America,2003,Male,FullNameMatch
Nick McKeown,Stanford University,2009,Program,Male,Male,North America,2017,Male,FullNameMatch
Greg Minshall,Harvard University,2009,Program,Male,Male,North America,?,Male,FullNameMatch
Michael Mitzenmacher,Harvard University,2009,Program,Male,Male,North America,1996,Male,FullNameMatch
Jeff Mogul,HP Labs,2009,Program,Male,Male,North America,1986,Male,FullNameMatch
Rama Ramasubramanian,Microsoft Research,2009,Program,Male,Male,North America,2005,Male,FullNameMatch
Pablo Rodriguez,Spain Telefónica,2009,Program,,Male,Europe,2000,Male,FuzzyMatch
Kobus van der Merwe,AT&T Labs—Research,2009,Program,,Male,North America,1998,Male,FuzzyMatch
Geoff Voelker,"University of California, San Diego",2009,Program,Male,Male,North America,2000,Male,FullNameMatch
Matt Welsh,Harvard University,2009,Program,Male,Male,North America,2002,Male,FullNameMatch
Hui Zhang,Carnegie Mellon University/Rinera,2009,Program,,Male,North America,1993,Male,FuzzyMatch
Yuanyuan Zhou,University of Illinois at Urbana-Champaign,2009,Program,Female,Female,North America,2000,Female,FullNameMatch
Lorenzo Alvisi,University of Texas at Austin,2010,Program,Male,Male,North America,1996,Male,FullNameMatch
Hari Balakrishnan,Massachusetts Institute of Technology,2010,Program,Male,Male,North America,1998,Male,FullNameMatch
John Byers,Boston University,2010,Program,,Male,North America,1997,Male,FuzzyMatch
