name,region,year,committee,DirectMatch,FuzzyMatch,Continent,GenderGuesser,Gender,Source
Aditya Akella,University of Wisconsin—Madison,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne  (EPFL),2013,Program,,Female,Europe,female,Female,FuzzyMatch
Suman Banerjee,University of Wisconsin—Madison,2013,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Matthew Caesar,University of Illinois at Urbana-Champaign,2013,Program,,Male,North America,male,Male,FuzzyMatch
Jeff Chase,Duke University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Bryan Ford,Yale University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Mike Freedman,Princeton University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Krishna Gummadi,Max Planck Institute for Software Systems (MPI-SWS),2013,Program,,Male,Europe,andy,Male,FuzzyMatch
Rebecca Isaacs,Microsoft Research,2013,Program,Female,Female,North America,female,Female,FullNameMatch
Jaeyeon Jung,Microsoft Research,2013,Program,Female,Female,North America,unknown,Female,FullNameMatch
Brad Karp,University College London,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Dejan Kostić,Institute IMDEA Networks,2013,Program,,Male,Europe,male,Male,FuzzyMatch
Arvind Krishnamurthy,University of Washington,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Wenke Lee,Georgia Institute of Technology,2013,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Dave Levin,University of Maryland,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Philip Levis,Stanford University,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Ratul Mahajan,Microsoft Research,2013,Program,Male,Male,North America,unknown,Male,FullNameMatch
James  Mickens,Microsoft Research,2013,Program,,Male,North America,male,Male,FuzzyMatch
Andrew Moore,University of Cambridge,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Richard Mortier,University of Nottingham,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Michael Piatek,Google,2013,Program,Male,Male,North America,male,Male,FullNameMatch
George Porter,"University of California, San Diego",2013,Program,Male,Male,North America,male,Male,FullNameMatch
Luigi Rizzo,Università di Pisa,2013,Program,Male,Male,Europe,male,Male,FullNameMatch
Lakshminarayanan Subramanian,New York University,2013,Program,Male,Male,North America,unknown,Male,FullNameMatch
Renata Teixeira,CNRS and UPMC Sorbonne Universités,2013,Program,Female,Female,Europe,female,Female,FullNameMatch
Kobus Van der Merwe,University of Utah,2013,Program,Male,Male,North America,male,Male,FullNameMatch
Michael Walfish,"University of Texas, Austin",2013,Program,Male,Male,North America,male,Male,FullNameMatch
Heather Zheng,"University of California, Santa Barbara",2013,Program,Female,Female,North America,female,Female,FullNameMatch
Katerina Argyraki,EPFL,2014,Program,,Female,Europe,female,Female,FuzzyMatch
Aruna Balasubramanian,University of Washington,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Miguel Castro,Microsoft Research Cambridge,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Prabal Dutta,University of Michigan,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Mike Freedman,Princeton University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Ali  Ghodsi,"KTH Royal Institute of Technology and University of California, Berkeley",2014,Program,,Male,North America,male,Male,FuzzyMatch
Brighten Godfrey,University of Illinois at Urbana-Champaign,2014,Program,,Male,North America,unknown,Male,FuzzyMatch
Sharon Goldberg,Boston University,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Shyamnath Gollakota,University of Washington,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ramesh Govindan,University of Southern California,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Saikat Guha,Microsoft Research India,2014,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Kyle Jamieson,University College London,2014,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2014,Program,Male,Male,North America,male,Male,FullNameMatch
S. Keshav,University of Waterloo,2014,Program,,Male,North America,unknown,Male,FuzzyMatch
Changhoon Kim,Microsoft,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dejan Kostić,IMDEA Networks,2014,Program,,Male,Europe,male,Male,FuzzyMatch
T. V. Lakshman,Bell Labs,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Nikolaos Laoutaris,Telefónica,2014,Program,Male,Male,Europe,male,Male,FullNameMatch
Bruce Maggs,Duke University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
KyoungSoo Park,KAIST,2014,Program,Male,Male,Asia,unknown,Male,FullNameMatch
George Porter,"University of California, San Diego",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Lili Qiu,University of Texas,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Sanjay Rao,Purdue University,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Jennifer Rexford,Princeton University,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Vyas Sekar,Stony Brook University,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Srinivasan Seshan,Carnegie Mellon University,2014,Program,Male,Male,North America,unknown,Male,FullNameMatch
Jonathan Smith,University of Pennsylvania,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Nina Taft,Technicolor,2014,Program,Female,Female,North America,female,Female,FullNameMatch
Amin Vahdat,"Google and University of California, San Diego",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Walter Willinger,Niksun,2014,Program,Male,Male,North America,male,Male,FullNameMatch
Yuan Yu,Microsoft,2014,Program,Male,Male,North America,andy,Male,FullNameMatch
Ben Zhao,"University of California, Santa Barbara",2014,Program,Male,Male,North America,male,Male,FullNameMatch
Atul Adya,Google,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Aditya Akella,University of Wisconsin–Madison,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Katerina Argyraki,EPFL,2015,Program,,Female,Europe,female,Female,FuzzyMatch
Hitesh Ballani,Microsoft Research Cambridge,2015,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Suman Banerjee,University of Wisconsin–Madison,2015,Program,Male,Male,North America,mostly_female,Male,FullNameMatch
Jeff Chase,Duke University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Jeff Dean,Google,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Prabal Dutta,University of Michigan,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
Nick Feamster,Princeton University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Deepak Ganesan,University of Massachusetts Amherst,2015,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Sharon Goldberg,Boston University,2015,Program,Female,Female,North America,female,Female,FullNameMatch
Andreas Haeberlen,University of Pennsylvania,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Mark Handley,University College London,2015,Program,Male,Male,Europe,male,Male,FullNameMatch
Jon Howell,Microsoft Research Redmond,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Jaeyeon Jung,Microsoft Research Redmond,2015,Program,Female,Female,North America,unknown,Female,FullNameMatch
Sachin Katti,Stanford University,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2015,Program,Male,Male,North America,male,Male,FullNameMatch
Kimberly Keeton,HP Labs,2015,Program,Female,Female,North America,mostly_female,Female,FullNameMatch
Changhoon Kim,Barefoot Networks,2015,Program,Male,Male,North America,unknown,Male,FullNameMatch
